"","AUS","AUT","BEL","BGR","BRA","CAN","CHN","CYP","CZE","DEU","DNK","ESP","EST","FIN","FRA","GBR","GRC","HUN","IDN","IND","IRL","ITA","JPN","KOR","LTU","LUX","LVA","MEX","MLT","NLD","POL","PRT","ROM","RUS","SVK","SVN","SWE","TUR","TWN","USA","ZRoW"
"GBR_sa21",6.513795766,4.798246316,19.64540889,0.119131586,44.389268684,24.879390674,83.576984359,0.071815949,4.377962063,16.008768468,1.997247523,12.820071965,0.2130761948,3.124550404,2.6319353,136449.26145589,1.184205249,1.408777234,0.301947132,16.330111126,84.0412677681,6.317000653,1.351181888537,0.21376459,0.022864335,0.139966163442,0.11319710292,0.089828161,3.3891771732,5.906366264,2.894830006,2.047097495,3.008402493,0.309566155,11.655593014,0.198441513,4.178100592,0.074152593,103.56676632,3.968686484,44.62192322
"GBR_sa22",70.814162617,38.180568748,218.793474266,0.0355599277,524.32662604329,262.379047096,983.73227088,0.0219159657,47.957433563,98.658264664,0.704572938,145.0069400122,2.0012898546,32.201886835,0.920187148,141455.500086571,0.394862025,10.073180608,3.577455998,193.34293043,982.913514336,60.182525862,0.499228736,0.092707978,0.006844709,1.658662389,0.91372097883,0.699464266,40.05571617174,2.112889132,1.113501502,19.548402335,28.403312608,1.0385472,134.337821344,0.969290392,1.877183107,0.010845305,1224.861528352,1.170956911,257.828181199
"GBR_sa23",6.492796766,4.791421469,15.169749383,1.119674433,3.209672637,15.008227188,46.79804731,0.084931917,2.146996707,33.153563032,10.949011672,29.4070857124,0.322419262,1.619422634,15.563795019,35038.56200153,0.775180323,1.988106034,10.37969767,5.837663939,9.688606019,6.512431524,5.0524334381,5.552082338,0.117858947,0.3241823016,0.01493851929,0.002653263,0.483169078,8.244608798,11.623372555,0.4150884724,0.2792578701,13.375847551,0.877283679,0.23199314749,44.296820802,5.489115114,5.925968259,11.18056203,420.180056408
"GBR_sa24",5.089192051,1.749759044,0.31054255579216,0.267703372,0.397693636,13.525711911,17.857471261,0.001569934,0.494532048,74.7517026654,9.9867014206,8.960793584,0.7461515480877,26.659071541,9.333285413,112.499237768,0.061445478,0.994853732,14.86003135,0.054852466,4.461794111,0.998801558,129.416762264,19.143238793,1.072673957,0.00047058425,0.00080642174,0.000196778,0.545307777,24.073759443,10.674973271,3.023213115,1.439796635,3.2916745664,4.48434963385,0.2321421759329,15.4605554793,33.28811461,0.473412738,5.245885018,2732.663028516
"GBR_sa25",111.999249678,9.6423145397,9.0650571607578,4.10364583,0.700323854,75.2880456844,99.63722454,2.889231095,6.0436169192,63.5240500598,3.7647546986,173.014782275,0.8369755929859,17.171555062,115.538126517,10640.009281252,6.10007458,20.885329469,21.82738188,0.122576121,107.240052819,63.440583782,97.169606809,31.7311304,0.090386435,0.43147533709,1.759213381098,2.601845811,0.757179092,40.318960475,14.803223205,61.9281172433,4.132583816,4.499057,2.2670699828,0.856355382572,98.476871069,6.100176131,23.369341789,535.3228282,208.099688733
"GBR_sa26",0.53360318,3.258093074,34.345678415,0.409846599,1.861776009,3.253706134,17.20932613,6.303489266,0.78791875,58.071063795,64.92750481,42.510628453,0.775233332079,2.822413384,38.51467182,5395.8836133,16.830330965,3.263661585,2.835592109,0.507454386,3.686008742,13.628676218,6.350627639,14.6157757,0.392822938,1.190031695,0.69281591384,0.095588895,1.31011384,20.132996978,3.0556056246,7.369379537,0.667484067,3.094956456,0.6917287282,0.638785698213,17.855457542,0.873805571,8.765825425,1.001125725,154.821575901
"GBR_sa27",16.176785954,20.692693988,45.247258431,2.366087768,2.601825302,149.313247432,137.582363312,2.117635746,4.176565219,144.504670936,13.326957478,123.884064622,0.8558729423,9.027455466,107.474135934,38467.13483079,31.013741316,11.847435166,0.017400346,0.957527238,140.0467579438,57.915977504,12.847475130756,0.988383822,1.307349809,0.008058191289,6.102333316603,0.041924437,0.5275228436,166.5145984,35.301963685,25.363294112,26.501717411,26.041874029,6.381983034,3.345612224,74.603647815,0.046973913,6.079903112,8.875085389,130.976423356
"GBR_sa28",71.348848337,65.850758218,243.73504508,33.343305605,95.725236065,389.5057351,69.987286306,15.935400613,33.254408086,925.289216066,178.749516678,105.830377774,5.9429489082,78.18945906,247.144321157,152896.5128645,122.299299672,34.96969542,36.73907132,181.59931659,977.81890839,292.303099743,254.891945790201,349.3496215,1.557273528,115.023903320017,17.563961696,69.416333907,0.843380223,1111.201780488,114.063559214,127.22375448003,13.142288594,10.490441506,14.672268489,6.9340100099,201.394128172,169.6379289,99.01473907,1240.583199,5820.125874326
"GBR_sa29",0.093447427,1.133656963,0.3831004228,0.022295337,0,0.595112438,0.123453705,0.012642572,0.900318059,223.758616812,0.47520713,2.725558344467,0.01533389,0.142098063,0.749470228,236176.588838894,0.233359439,0.132404631,0,0.002379059,0.784717807,8.4102518978,0.340019119,0.036463738,0.004900392,0,0.144446254,0.007067177,0.0017396374,1.736371453,8.639527299,0.0889984113,0.136051889,0.352796709,0.823870055,0.0769630161,0.941052864,0.00343655,0.008325638,1.27704552,4.390310295
"GBR_sa30",40.388100576,135.961958596,222.249354649,12.829634669,7.878277496,192.070604632,331.22811833,6.067924367,54.313453117,775.072775654,246.971231,121.008708956,4.434635831,115.559466369,491.92998028,74201.254441,106.834081448,73.924835444,0.051973851,5.359867845,853.328757419,223.867547867,175.491139399,11.117919363,3.054755356,0.02426596304,4.2418734135,7.560847933,1.3714462844,1145.416697089,288.282011236,36.286919441,58.844136158,7.666098751,30.071746459,12.93411255,429.01758407,3.669336603,27.61853908,1026.122155,1395.639615505
"GBR_sa31",0,1.431618395,0,2.567798953,0,8.035263628,94.82332963,24.727490923,0.481977005,130.051820818,0.147709753,0,0.285126429,1.6716262,0,209982.76172,16.247963923,1.360308174,59.791789358,0,2.416261316,0,15.444608109,54.261216021,3.07557443,0,29.3705672,0,0,1.634025114,0,0.035905372,0,24.323426189,4.876595589,1.013951804,0.549916649,147.035259601,172.01300505,0,226.703315349
"GBR_sa32",107.672329588,3.399110149,4.168968425,0.02303153757,14.14896211,6.012542908,3.952962081,1.9129609033,7.854687911,2.944819602,9.40962238,0.5732082531,0.065844595,1.672530776,0.994549096,142689.04661575,10.669018121,5.510857548,0.008743868,0.472828631,2.5006730694,7.257472712,0.847757828,198.24084255,0.232108982,0.004054033,0.01664956953,11.650627706,0.10134928297,2.314279593,13.41237813,1.350379285,0.3429355203,87.069945286,4.511371469,0.485068598,8.280439172,0.00119135,70.98972452,37.58180672,734.112440326
"GBR_sa33",52.933863886,8.690777546,1.223994774,0.0194990909,15.790881659,10.158828547,4.262381744,3.935896382,12.131877808,2.577371586,3.865969375,0.548107221,0.018736205123,1.494355199,18.84676228,322758.91447037,9.080430555,1.935324415,0.008168832,0.447096881,2.766282498,0.35545944,0.863950445,12.626348968,0.005371552,0.0037874216,0.0137593377,0.006575958,0.0939615296,1.996975926,7.22478588,9.802069681,0.263916385,8.038570933,1.901807813,0.391033212,2.17976008,0.00346382,15.573433492,35.29796529,27.135983197
"GBR_sa34",123.173032986,296.544539473,109.410889738,3.256995071,87.412752257,503.338737287,51.501947496,10.47303313,31.746886545,507.95524293,58.966390326,12.412171929,0.665054082,10.31554166,142.692635138,126394.2749347,85.632669536,44.141295682,8.196934055,11.25784789,81.81318842016,389.527752025,5.47381390112,51.322327627,4.079197862,0.064503693,1.43165810924,0.390650646,1.65784255,175.7076203,83.382149743,56.663015811,2.085531396,0.95512094,19.888068956,3.04710563,71.51672056,43.931626071,136.742012077,252.397289245,1131.174817814
"GBR_sa35",0,3.98369e-06,7.4524872e-08,0,0,7.42158e-07,0,0,3.78715803e-06,0.001031833721,0,1.17397168e-05,2.1581609e-08,0,0,11047.459543729,0,0,0,17.323177011,0,3.772586085e-05,0,0.000565104,0,0,6.3264585e-07,0,0,0,3.7292225e-05,0,0,1.5652094e-06,3.57124118e-06,2.3624118e-07,0,0,6.62883952,0,0.001250723
"GRC_sa01",2.636012476,9.182026426,5.893258893,20.154131864,0.03226672,1.94179953,0.462096615,21.267380015,18.540131843,185.662515849,2.918422138,33.72405342,0.185295947,5.160791461,25.37147905,50.25776023,10848.06940371,7.072949406,0.000731791,0.018774712,0.559891217,98.404646143,0.7602576483,0.059803778,4.328456336,0.131274071,0.832482103,0.10345458,0.324450218,15.703335647,26.44365874,7.3981569881,32.946472405,34.476404377,6.042648986,6.279806759,7.590456563,2.824336971,0.061190444,48.62002652,157.47993159
"GRC_sa02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804.50934939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2389.451804
"GRC_sa03",29.791028155,28.577435671,27.0059894334,112.84881836,1.2199773077,48.625150143,6.412709727,157.273604369,22.022855806,327.158054695,13.575336634,27.087360551146,2.0633458258021,17.6789883342,61.48671726,119.77785132,19186.08338023,12.047171799,0.035913002,0.25209007,3.039757733,265.940960419,17.06567107,2.301065504,1.7295434162,0.05822397868,2.141501510394,3.905994933,2.356472989944,32.153275406934,43.128201336,8.936892226,36.983093102,19.028715612413,4.13653196,2.823240874,28.783566595,10.480886822,0.4991683768,102.060162371,382.739893222
"GRC_sa04",1.522599297,10.567826879,4.39880228857,33.804061571,0.055584311,3.454866549,2.993332319,70.242376231,2.994943148,121.183393898,1.970038337,9.934160124666,0.36813767246582,4.944976690271,53.243198761,20.252512075,4459.50576477,0.635922271,0.038693752,0.043873306,1.199373113,58.0412002219,3.1576892969,1.116650447,0.17142790215,0.000290418095,0.1277638039147,1.328852085,0.452663800829,8.5978932736453,5.21870882,0.2271483381,33.321338351,207.288822878487,10.231778159,0.653842225,6.9756272,6.938163455,0.35916253482,5.830446612,101.037711585
"GRC_sa05",0.04312033058,0.9046092751,0.18856458826,3.472585613709,0.00015013873,0.0284653783,0.105694029,15.851273842,0.06072705928581,1.561887413,0.058820685,0.78865673296897,0.020314176372153,0.0382654195576,0.7233906094,1.866146279,483.591355641,0.12628028634,0.0002031374,0.003782559244,0.0033044456,1.48305630057,0.0475596664204,0.007839856,0.0005020441844,0.0081307930136,0.00186747567633,0.0013848797,0.061733561586877,0.19569298888106,1.612464133,0.1910394552619,5.484071097,6.35990966574846,5.7886968e-05,0.009012191883,0.010281651,0.643272021,0.435762556477,0.518151325,4.9695884705
"GRC_sa06",0.01273953736,0.0149435518,0.014157582354,0.10737378414,0.000782962546,0.005979155,0.0062447671,0.308922834,0.0010229195763,0.109098367,0.010165158,0.1020959401624,0.00068234969114,0.0015568302068,0.0384136491,0.077695826,326.84031742,0.00817640711,0.000168772057,0.007699046,0.0091140533,0.3274168454,0.045893089503,0.00971731475,0.0002514356379,3.6872042e-05,0.00056381113679,0.00105621402,0.25671247355479,0.0169382103775,0.0078795891,0.00330820969,0.107047526,0.0150845576446,0.00196797832,0.00095007146,0.0030700231,0.14273138817,0.006046483316,0.154082478,5.564720099
"GRC_sa07",0.75323116,0.126771129,0.33231436344,5.087968854,0.0463210199,0.475995946,0.022578129,15.184101375,0.239195228,7.389724786,1.240229496,2.3595642514214,0.2450140126058,0.28552054899,2.582006051,1.504191278,2615.709651415,0.122334237,0.001930352,0.004523618,0.0658295869,2.131306866,0.0266188962,0.203056467,0.2238778856,0.005530158,0.1111848300086,2.259818258,0.558883390282,1.899670534032,0.9615725857,0.249690445,4.485388432,1.0485448778261,0.09341883,0.025266474,0.314002565,2.54831519,0.082572457,11.45969357,31.695316965
"GRC_sa08",0.073581814,0.1136845,0.2689788193,79.759022554,1.1555342039,0.203149853,0.05795717,9.781918769,0.0300260033098,8.273044083,0.054854889,18.972707946354,0.00527133191662,0.008574115603,19.419243061,9.577898081,7447.99040112,0.046167522,0.027719941,0.326988665,0.181576555,44.958367066,5.98253280922,0.235400738,0.010078815,0.005307597368,0.0059175646317,76.501479695,1.6748634464632,1.5462107121571,0.322848144,0.0550457543,46.831908192,0.707023486568,0.008646571,83.046976493,0.069996366,110.412011784,3.66082600775,23.831545524,1034.729121084
"GRC_sa09",3.336439915,3.648756057,2.86711009,27.987011298,0.235340316,4.396547864,4.239098296,93.900223167,7.2606695853,344.262978419,18.386812703,25.130450639457,0.4446892535154,3.04861901682,67.174919619,58.234370131,1682.6551173,3.43480597,0.054595786,0.210335937,2.551300295,54.8392659299,1.001184141131,1.093875914,0.107264775,0.0835203965,0.3845241921384,0.898105156,1.513264158,10.782676423112,28.557569938,3.528632631,27.667636792,34.363388131552,2.167791529,1.563600497,12.623661852,15.094890018,0.61146586281,20.686303905,278.411762071
"GRC_sa10",0.372521663,1.736600586,1.64918389969,3.337658668,0.0326669899,0.165823641,0.170351029,7.467594291,0.17024536626,10.048485975,2.826529748,2.6388864800653,0.02116716957142,0.121038998137,12.33743008,1.825425335,1301.12532336,0.114417479,0.019552402,0.781967798,1.7876812484,3.998332918,0.19295605978,0.075863004,0.0523419161,0.000605888317,0.0103346066734,0.083364928,0.392439535935,3.0012223887078,0.5102138519,0.228261338,2.218212084,0.8861715436246,0.363634782,0.016720254,0.219544375,3.121797127,0.047260856783,1.302278346,17.453897072
"GRC_sa11",0.07450596,0.053778398,0.16288447248,0.794234426,0.0037729253,0.06009962,0.07383463,1.767692469,0.055740335333,1.615444209,0.157065013,0.4424177044252,0.00366143434372,0.016775947635,0.590837585,0.397095708,820.68530626,0.156173858,0.013880714,0.029363492,0.0736000451,0.8757650844,0.11986457472,0.040167664,0.0053158855,0.002932928146,0.008433189887,0.018965944,0.380032538505,0.1137585324163,0.2663329026,0.037056896,1.101138021,0.3005413548072,0.024220245,0.021701611,0.079216849,0.305716188,0.00457257407,0.493288457,5.443898029
